Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Terminator,Flowchart Shapes,1,,,,,,, start: main
3,Terminator,Flowchart Shapes,1,,,,,,,end: void
4,Process,Flowchart Shapes,1,,,,,,,"var int a = 1, b = 4;"
5,Terminator,Flowchart Shapes,1,,,,,,,"start: sum (int a, int b)"
6,Process,Flowchart Shapes,1,,,,,,,var int c = a + b
7,Terminator,Flowchart Shapes,1,,,,,,,end: int c
8,Process,Flowchart Shapes,1,,,,,,,"var int res = sum(a, b);"
9,Display,Flowchart Shapes,1,,,,,,,{{a}} + {{b}} = {res}}
10,Line,,1,,,2,4,None,Arrow,
11,Line,,1,,,4,8,None,Arrow,
12,Line,,1,,,5,6,None,Arrow,
13,Line,,1,,,6,7,None,Arrow,
14,Line,,1,,,8,9,None,Arrow,
15,Line,,1,,,9,3,None,Arrow,
